Name	Type	Link
[FEATURED] WEPOWER (PRE-SALE)	active	https://wepower.network/
[FEATURED] Oyster	active	https://oyster.ws/
[FEATURED] BLOCKv	active	http://t.blockv.io/icoalert
[FEATURED] THE AGORA	active	https://theagora.io/
[FEATURED] Opporty	active	https://opporty.com/ico/
[FEATURED] Gameflip	active	https://tokensale.gameflip.com/?utm_source=icoalert&utm_medium=pr&utm_campaign=featured_listing
[FEATURED] SMSCHAIN	active	https://smschain.org/
[FEATURED] CARTAXI	active	https://cartaxi.io/
[FEATURED] Medicalchain	active	https://medicalchain.com/en/
[FEATURED] ENJIN COIN (MAIN SALE)	active	https://enjincoin.io/
[FEATURED] TOKENSTARS ACE	active	https://tokenstars.com/ace/?utm_medium=listing&utm_source=icoalert&utm_campaign=listing
[FEATURED] Cryder	active	https://www.cryder.io/
[FEATURED] AIRTOKEN	active	http://www.airtoken.com/
[FEATURED] SCIENCE BLOCKCHAIN	active	https://science.tokenhub.com/
[FEATURED] CamOnRoad	active	https://ico.camonroad.com/
[FEATURED] Genesis Vision	active	https://genesis.vision/
[FEATURED] Privatix	active	https://privatix.io/
[FEATURED] SKRILLA	active	https://tokensale.skrilla.com/
[FEATURED] Blockbid	active	https://blockbid.com.au/
[FEATURED] WORLDCORE	active	https://worldcore.com/
[FEATURED] Crypto20	active	https://crypto20.com/en/
[FEATURED] Lucyd	active	https://lucyd.co/
[FEATURED] Mirocana	active	https://mirocana.com/token-sale/
TOP	active	http://toprofit.top/
Aeron	active	https://aeron.aero/
Mingo	active	https://mingocoin.com/?r=PT9L&utm_source=icoalert.com&utm_medium=listing
CryptoGene	active	https://cryptogene.co/
Bookira	active	https://www.bookira.io/
Handelion	active	https://www.handelion.com/
Zenome	active	https://zenome.io/
Kryptopy	active	https://www.kryptopy.com/
AdPerks	active	https://adperks.io/
Key’ Token	active	http://ico.keytoken-ew.com/en/
ABIO Coin	active	https://abiocoin.com/en/
3DES	active	https://3des.network/
Jibrel Network	active	https://jibrel.network/
GRAPHGRAIL	active	http://graphgrail.com/
ZuveX	active	https://zuvuyaexploration.com/
Secure Identity Ledger Corporation	active	https://www.secureidentityledger.com/
Astronaut	active	https://astronaut.capital/
RET	active	https://retokens.com/
Starcoin	active	http://www.starcoin.tv/
Afterschool	active	https://tokensale.afterschool.ae/
SOMA	active	https://soma.co/
PrettyCoin	active	https://prettycoin.io/
EASYMINE	active	https://easymine.io/
Streamr	active	https://www.streamr.com/
Solve Care	active	https://solvecare.io/
BitBase	active	https://bitbase.io/
REVV Coin	active	http://www.rev-coin.biz/revv_ico_en/
Swarm Fund	active	https://www.swarm.fund/
Doft	active	https://doft.com/
ExHasta	active	https://www.exhasta.com/
SaharaChain	active	https://saharachain.com/
LangPie	active	https://langpie.io/
Bugu	active	https://bugu.network/
Snip	active	https://www.snip.network/
Pundix	active	https://pundix.com/
Wyrify	active	http://www.wyrify.com/
Galactikka	active	http://ico.galactikka.com/
Quantopia	active	https://www.quantopia.network/
Customizable Basic Income	active	http://www.customizablebasicincome.com/
CoinLoan	active	https://coinloan.io/
Seratio	active	https://seratio-coins.world/
Bit Life and Trust	active	http://www.bitlifeandtrust.com/
WINBOT	active	http://winbot.tech/winken/
Crypto Apartments	active	https://crypto-apartments.com/
PETSAFE	active	https://www.petsafes.xyz/
Horizon State	active	https://horizonstate.com/
STARMINE	active	http://www.starmine.ai/
Power Group	active	http://powergroup.tech/
FundCoin	active	https://finles.capital/
Ethino	active	https://www.ethino.com/
Rhea	active	http://rheatoken.io/
[NSFW] Nocta	active	https://nocta.co/
Cryptopay	active	https://ico.cryptopay.me/#about
FundOS (FOS)	active	https://www.fos.ai/index.html?channel=icoalert
Space	active	https://spaceico.io/
Smart Billions	active	https://smartbillions.com/
Global Metrology Project	active	https://gmp.im/
Crypto Alias (PRE-SALE)	active	https://www.cryptoalias.io/
SOFEROX	active	http://www.soferox.com/
[NSFW] FAPcoin	active	http://fapcoin.io/
Aleph Market	active	http://alephmarket.io/
DIGIPULSE	active	https://www.digipulse.io/
Valus	active	https://valus.one/
The Credit Protocol	active	https://blockmason.io/projects/ico/
LOCI	active	http://locipro.com/
FARAD	active	https://farad.energy/
AUTHOREON	active	https://www.authoreon.io/
WOLK	active	https://wolk.com/
FEEED	active	https://feeed.cc/
Decentralized Collateral Loan Coin	active	http://coinequity.io/
QUINTEK	active	http://token.quintek.org/
HIREMATCH	active	http://hirematch.io/
SPARC	active	http://sparc.network/
Bibox	active	https://www.bibox365.com/
VALUE COIN	active	https://www.valuecoinfund.com/
Goal Bonanza	active	http://www.goalbonanza.com/
MAKE IT VIRAL	active	https://www.miv.life/
KUMO	active	https://www.kumocoin.com/
WEIGRATE COIN	active	https://www.wrtcoin.com/
REALT	active	http://realt.uk/
ATLANT	active	https://atlant.io/
BannerCoin	active	https://www.bannerview.com/bannercoin/
Aldoin	active	https://aldoin.com/crowdsale/
Burst IQ	active	http://www.burstiq.com/biq-token-crowdsale/
Big Data Coin	active	http://bigdatacoin.one/
Riptide Coin	active	https://riptidecoin.com/
WU-TANG COIN	active	https://www.wutangcoin.com/
Agadro Crypto Crowdfunding	active	https://www.agadrocrypto.com/
FTB	active	http://ftb.fund/
DISLEDGER	active	http://www.disledger.com/
HAZZA	active	https://hazza.network/
Upfiring	active	https://www.upfiring.com/
DOVU	active	https://www.dovu.io/
Red Pill Coin	active	https://redpillcoin.com/
Spacium	active	https://spacium.io/
Dala Token Sale	active	https://tokensale.getwala.com/
AERO	active	https://aerotoken.com/
Mondo	active	https://mondo.one/
Karma TGE	active	https://tge.karmainternational.com/
USHBACOIN	active	https://ushba.io/
INDICOIN	active	http://www.indicoin.org.in/
SqPay	active	https://sqpay.io/
Protos	active	https://protos.tokenhub.com/
Blockchain Board of Derivatives	active	http://www.bbod.io/
INSTACOIN	active	https://instacoin.pro/
Bankera	active	https://bankera.com/
Hedge Pro	active	http://hedge.pro/english
ModoView	active	http://www.modoview.com/
